source_col,input_cols,target_col
Average attendance,Season<|>Average Attendance Home<|>Highest Attendance Home<|>Average Attendance Away<|>Highest Attendance Away<|>Division / Section<|>Level<|>Average Attendance League,Average Attendance Away
Last season,Season<|>Average Attendance Home<|>Highest Attendance Home<|>Average Attendance Away<|>Highest Attendance Away<|>Division / Section<|>Level<|>Average Attendance League,Season
Start Time,Draw<|>Entrant<|>Brand<|>Order<|>Eliminated by<|>Time,Time
Year ended,Year<|>Single<|>U.S. Hot 100<|>U.S. Dance<|>U.S. R&B<|>Album,Year
Last season,Season<|>Club<|>Country<|>Apps.<|>Goals<|>Assists,Season
Season episode,Episode<|>1st season<|>2nd season<|>3rd season<|>4th season<|>5th season<|>6th season<|>7th season,Episode
Original Canadian air date,No. in series<|>No. in season<|>Title<|>Animation directors<|>Written by<|>Original air date,Original air date
Release date,Western Title<|>Chinese Title<|>Pinyin<|>Released Date<|>Genre<|>Game Modes,Released Date
Number of cars,Village (German)<|>Village (Slovene)<|>Number of people 1991<|>Percent of Slovenes 1991<|>Percent of Slovenes 1951,Number of people 1991
Year ended,Year<|>MRHMA<|>USCA<|>RTHK<|>Joint Music Award<|>Total,Year
"Area (1930) in 1,000skm 2",City/Municipality<|>Population (2010)<|>Area (km²)<|>Pop. density (per km²)<|>Income Classification,Area (km²)
Population (2000 census),City/Municipality<|>Population (2010)<|>Area (km²)<|>Pop. density (per km²)<|>Income Classification,Population (2010)
Completed?,City/Municipality<|>Population (2010)<|>Area (km²)<|>Pop. density (per km²)<|>Income Classification,Pop. density (per km²)
High school,School<|>Location<|>Mascot<|>Enrollment<|>IHSAA Class<|># / County<|>Year Joined,School
IHSAA Class  Football Class,School<|>Location<|>Mascot<|>Enrollment<|>IHSAA Class<|># / County<|>Year Joined,IHSAA Class
Year ended,Year<|>Wins<|>Earnings ($)<|>Rank<|>Scoring average,Year
Year ended,Issued title<|>Year<|>Label<|>Format<|>Catalog,Year
Year ended,Rank<|>Year<|>Ascent Time<|>Speed<|>Rider,Year
Singapore League Cup,Name<|>Premier League<|>League Cup<|>FA Cup<|>Total,League Cup
FA Cup goals,Name<|>Premier League<|>League Cup<|>FA Cup<|>Total,FA Cup
4th place,Year<|>Winners<|>Score<|>Runners Up<|>Venue<|>3rd Place,3rd Place
Year ended,Year<|>Winners<|>Score<|>Runners Up<|>Venue<|>3rd Place,Year
High school,School<|>Location<|>Mascot<|># / County<|>Year Joined<|>Previous Conference<|>Year Left<|>Conference Joined,School
High school,School<|>Location<|>Mascot<|>Enrollment<|>IHSAA Class<|># / County<|>Year Joined<|>Previous Conference,School
IHSAA Class  Football Class,School<|>Location<|>Mascot<|>Enrollment<|>IHSAA Class<|># / County<|>Year Joined<|>Previous Conference,IHSAA Class
Year ended,Name<|>Length<|>Tonnage<|>Built by<|>Year<|>Engines<|>Horsepowers<|>Former Names,Year
No. of times visited,Season<|>No. of stars<|>No. of weeks<|>Duration dates<|>First place<|>Second place<|>Third place,No. of weeks
Last season,Season<|>No. of stars<|>No. of weeks<|>Duration dates<|>First place<|>Second place<|>Third place,Season
Song 2 title,Track<|>Song Title<|>Artist<|>Album<|>Legends Track?,Song Title
Start Time,Series<|>Theme<|>Start<|>Finale<|>Days<|>Housemates<|>Winner<|>Prize money<|>Presenter<|>Co-presenter,Start
Opponent in the Final,Outcome<|>Year<|>Championship<|>Partner<|>Opponents in the final<|>Score in the final,Opponents in the final
Year ended,Outcome<|>Year<|>Championship<|>Partner<|>Opponents in the final<|>Score in the final,Year
Opponent in the Final,Outcome<|>Date<|>Tournament<|>Partner<|>Opponents in the final<|>Score in the final,Opponents in the final
Name (English),Name (Alma Mater)<|>Seasons<|>Games<|>Wins<|>Losses<|>Win %<|>NCAA Tour<|>NIT Tour<|>MCC Tour<|>A-10 Tour,Name (Alma Mater)
Second Leg,Season<|>Competition<|>Round<|>Opponents<|>1st leg<|>2nd leg<|>Aggregate,2nd leg
Last season,Season<|>Competition<|>Round<|>Opponents<|>1st leg<|>2nd leg<|>Aggregate,Season
Last season,Rank<|>Bowling<|>Player<|>Opponent<|>Venue<|>Season,Season
Number of Candidates,General election<|># of candidates<|># of seats won<|>% of popular vote<|>Result,# of candidates
General election contested,General election<|># of candidates<|># of seats won<|>% of popular vote<|>Result,General election
August,Game<|>April<|>Opponent<|>Score<|>Decision<|>Record,April
January,Game<|>March<|>Opponent<|>Score<|>Decision<|>Record,March
August,Game<|>October<|>Opponent<|>Score<|>Decision<|>Record,October
August,Game<|>January<|>Opponent<|>Score<|>Decision<|>Record,January
January,Game<|>December<|>Opponent<|>Score<|>Decision<|>Record,December
January,Game<|>November<|>Opponent<|>Score<|>Decision<|>Record,November
Service years,Builder<|>Model<|>Years of Daylight Service<|>Retired<|>Current Disposition,Years of Daylight Service
Original Canadian air date,No.<|>Title<|>Directed by<|>Written by<|>Bens location<|>Original air date<|>U.S. viewers (million),Original air date
Original Canadian air date,No.<|>#<|>Title<|>Directed by<|>Written by<|>Bens location<|>Original air date<|>U.S. viewers (million),Original air date
Year ended,Year<|>Awards show<|>Nominees<|>Nominated Work<|>Results,Year
Last season,Season<|>Series<|>Team Name<|>Races<|>Wins<|>Poles<|>F.L.<|>Podiums<|>Points<|>Position,Season
Population % 2001,Parties and voter communities<|>% 2006<|>Seats 2006<|>% 2001<|>Seats 2001,% 2001
Year ended,Year<|>Manufacturer<|>Model<|>Length (ft.)<|>Fuel or Propulsion<|>Fleet series<|>Quantity,Year
sequence length (aa),Year<|>Manufacturer<|>Model<|>Length (ft.)<|>Fuel or Propulsion<|>Fleet series<|>Quantity,Length (ft.)
Start Time,Result<|>Record<|>Opponent<|>Event<|>Method<|>Round<|>Time,Time
"$50,000 to $60,000",Year<|>Races<|>Wins<|>Top 5<|>Top 10<|>Poles<|>Avg. Start<|>Avg. Finish<|>Season Rank,Avg. Start
Weeks in top 12,Year<|>Races<|>Wins<|>Top 5<|>Top 10<|>Poles<|>Avg. Start<|>Avg. Finish<|>Season Rank,Top 10
Year ended,Year<|>Races<|>Wins<|>Top 5<|>Top 10<|>Poles<|>Avg. Start<|>Avg. Finish<|>Season Rank,Year
Season episode,Episode<|>Reward<|>Leader Battle<|>Immunity<|>Individual Immunity<|>Eliminated<|>Vote<|>Finish,Episode
Total Apps (Sub),Team name<|>Races<|>Won<|>RR1 Pts.<|>RR2 Pts.<|>Total Pts.<|>Ranking,Total Pts.
Original Canadian air date,Episode #<|>Series #<|>Episode Title<|>Original air date<|>Production Code,Original air date
Year ended,Year<|>Edition<|>Round<|>Date<|>Location<|>Surface<|>Against<|>Opponent(s)<|>Score<|>Result,Year
Year ended,Year<|>Single<|>CHR chart peak<|>Album<|>Composer(s),Year
Peak chart position,Rank<|>Artist<|>Album<|>Peak position<|>Sales<|>Certification,Peak position
Year [A ],"Year (January)<|>Population (000)<|>Rural, %<|>Urban, %<|>Source",Year (January)
% wt comp. 2,"Year (January)<|>Population (000)<|>Rural, %<|>Urban, %<|>Source","Rural, %"
Population (2000 census),"Year (January)<|>Population (000)<|>Rural, %<|>Urban, %<|>Source",Population (000)
Last season,Season<|>Stage Reached<|>Against<|>Score<|>Venue,Season
Last season,Season<|>Division<|>Position<|>Played<|>Lost<|>Points,Season
Last season,Season<|>Overall<|>Slalom<|>Giant Slalom<|>Super G<|>Combined,Season
Date of Entry,"Begin Date<|>End Date<|>Representative<|>Date of birth<|>House term<|>State served<|>Party<|>Age (years, days)",Date of birth
Age (before),"Begin Date<|>End Date<|>Representative<|>Date of birth<|>House term<|>State served<|>Party<|>Age (years, days)","Age (years, days)"
Year ended,Year<|>Song<|>Artist<|>Genre<|>Band Tour Venue<|>Exportable?,Year
Last season,Season<|>Winners<|>Total wins<|>Runners-up<|>Third-place<|>Number of clubs,Season
Year ended,Year<|>Turnover<|>Net income<|>Balance sheet total<|>Employees,Year
Length ( ft ),Call sign<|>Frequency MHz<|>City of license<|>Facility ID<|>ERP W<|>Height m ( ft )<|>Class<|>FCC info,Height m ( ft )
Age as of 1 February 2014,Name<|>Reported birth date<|>Reported age as of 1 February 2014<|>Place of residence<|>Latest report,Reported age as of 1 February 2014
Year ended,Year<|>Date contested<|>Sport<|>Winning team<|>Losing team<|>Final score,Year
Original Canadian air date,Ep No<|>Prod Code<|>Original Air Date<|>Episode Title<|>Ratings,Original Air Date
Height (m ft),Position<|>Jersey #<|>Name<|>Height (cm)<|>Weight (kg)<|>Birthdate<|>Birthplace<|>1990–1991 Team,Height (cm)
Height (m ft),Position<|>Jersey #<|>Name<|>Height (cm)<|>Weight (kg)<|>Birthdate<|>Birthplace<|>1986–1987 Team,Height (cm)
Height (m ft),"Position<|>Jersey #<|>Name<|>Height (cm)<|>Weight (kg)<|>Birthdate<|>Birthplace<|>2002–2003 Team<|>NHL rights, if any",Height (cm)
Height (m ft),Position<|>Jersey #<|>Name<|>Height (cm)<|>Weight (kg)<|>Birthdate<|>Birthplace<|>1999–2000 Team<|>NHL Rights,Height (cm)
Height (m ft),Position<|>Jersey #<|>Name<|>Height (cm)<|>Weight (kg)<|>Birthdate<|>Birthplace<|>2000–2001 Team<|>NHL rights,Height (cm)
Date of designation,Team<|>Outgoing manager<|>Manner of departure<|>Date of vacancy<|>Incoming manager<|>Date of appointment<|>Position in table,Date of appointment
Completed?,Government<|>Federal excise tax ( CAD¢ / L )<|>Total excise tax (CAD¢/L)<|>Minimum tax incl. sales taxes (CAD¢/L)<|>Min. tax (CAD¢/US gal),Min. tax (CAD¢/US gal)
Last season,Season<|>Belonging league<|>Matches<|>Points<|>Draw<|>Lose<|>Goal difference<|>Goals For<|>Goals Against<|>Position,Season
☵ 坎 Kǎn Water,Party<|>Votes (Gib.)<|>Votes (SW Eng)<|>% (Gib.)<|>% (SW Eng)<|>Change (SW Eng)<|>Seats,Change (SW Eng)
% wt comp. 2,Party<|>Votes (Gib.)<|>Votes (SW Eng)<|>% (Gib.)<|>% (SW Eng)<|>Change (SW Eng)<|>Seats,% (Gib.)
"GDP (PPP) (USD, per capita)",Party<|>Votes (Gib.)<|>Votes (SW Eng)<|>% (Gib.)<|>% (SW Eng)<|>Change (SW Eng)<|>Seats,% (SW Eng)
4th place,Year<|>1st Place Team<|>2nd Place Team<|>3rd Place Team<|>4th Place Team<|>Host Location,4th Place Team
Year ended,Year<|>1st Place Team<|>2nd Place Team<|>3rd Place Team<|>4th Place Team<|>Host Location,Year
IHSA Classes 2 3 4,Year<|>Location<|>Class 1<|>Best UK team<|>Class 1-200<|>Class 3<|>Class 1a,Class 3
Year ended,Year<|>Location<|>Class 1<|>Best UK team<|>Class 1-200<|>Class 3<|>Class 1a,Year
Last season,Rank<|>Margin<|>Opponent<|>Venue<|>Season,Season
Last season,Rank<|>Runs<|>Opponent<|>Venue<|>Season,Season
Last season,Season<|>1st Division<|>Relegated<|>2nd Division<|>Promoted,Season
Typ. capacity (mAh),Rank<|>Mine<|>County and State<|>Operator<|>Source of copper<|>Capacity (thousands of metric tons),Capacity (thousands of metric tons)
Last season,Season<|>Date<|>Venue<|>Competition<|>Score<|>Attendance<|>Report,Season
Year ended,Year<|>Kansas<|>Nebraska<|>North Dakota<|>Oklahoma<|>South Dakota<|>Texas,Year
Prize money ( $ ),Place<|>Player<|>Nation<|>Score<|>To par<|>Money ( $ ),Money ( $ )
Year ended,Engine<|>Displacement<|>Power<|>Torque<|>Redline<|>Year,Year
Kind of the song,Name<|>Rank<|>Out of<|>Source<|>Notes<|>Year,Out of
Year ended,Name<|>Rank<|>Out of<|>Source<|>Notes<|>Year,Year
Year ended,Year<|>Venue<|>Winning team<|>Score<|>USA Captain<|>Europe Captain,Year
Last season,Season<|>Series<|>Team<|>Races<|>wins<|>Fast laps<|>Points<|>Pos.,Season
Year ended,Year<|>Player<|>Position<|>Nationality<|>Team,Year
Last season,Season<|>Champion<|>Runner Up<|>1st leg<|>2nd leg<|>Host City,Season
Second Leg,Season<|>Champion<|>Runner Up<|>1st leg<|>2nd leg<|>Host City,2nd leg
Last season,Season<|>Winner<|>Finalist<|>Score<|>Host City,Season
Last season,Season<|>Player<|>Club<|>Nationality<|>Goals,Season
Year ended,Name<|>City<|>Height feet/m<|>Year<|>Period<|>Surpassed by,Year
Year ended,Year<|>Champion<|>Score<|>Runner-up<|>Coach,Year
Year ended,Year<|>Champion<|>Score<|>Runner-up<|>City<|>Arena,Year
Reason for separation,State (class)<|>Vacator<|>Reason for change<|>Successor<|>Date of successor's formal installation,Reason for change
High school,School<|>Team<|>Division Record<|>Overall Record<|>Season Outcome,School
Original Canadian air date,No. in total<|>No. in series<|>Title<|>Directed by<|>Written by<|>Original air date,Original air date
Original Canadian air date,Series #<|>Season #<|>Title<|>Written by<|>Original air date<|>U.S. Viewers (millions),Original air date
Time ( ET ),Match<|>League<|>Date & Time ( CET )<|>Arena<|>Team and Score<|>Result,Date & Time ( CET )
R 55 +,D 47 +<|>D 46 +<|>D 45 +<|>D 44 +<|>D 43 O<|>D 42 O<|>D 41 √<|>D 40 √,D 45 +
Kickoff ( ET ),Week<|>Date<|>Opponent<|>Location<|>Time ( ET )<|>TV<|>Result<|>Record,Time ( ET )
Last season,Season<|>Round<|>Opponents<|>Home Leg<|>Away Leg<|>Aggregate,Season
Year ended,Year<|>Theme<|>Artist<|>Mintage<|>Issue Price,Year
Year ended,Year<|>Theme<|>Artist<|>Issue Price<|>Special Notes,Year
Year ended,Year<|>Theme<|>Mintage<|>Issue Price<|>Finish,Year
Event 2 Squat Lift,Position<|>Name<|>Nationality<|>Event 1 Medley<|>Event 2 Truck Pull<|>Event 3 Dead Lift<|>Event 4 Fingals Fingers<|>Event 5 Keg Toss<|>Event 6 Atlas Stones,Event 3 Dead Lift
Event 1,Position<|>Name<|>Nationality<|>Event 1 Medley<|>Event 2 Truck Pull<|>Event 3 Dead Lift<|>Event 4 Fingals Fingers<|>Event 5 Keg Toss<|>Event 6 Atlas Stones,Event 1 Medley
Kind of the song,Year<|>Location<|>Fans' Choice Award<|>Male Artist of the Year<|>Female Artist of the Year<|>Group or Duo of the Year,Group or Duo of the Year
Year ended,Year<|>Location<|>Fans' Choice Award<|>Male Artist of the Year<|>Female Artist of the Year<|>Group or Duo of the Year,Year
Nation represented or nation of citizenship,Explosion<|>Location<|>Date<|>Yield (approximate)<|>Altitude (km)<|>Nation of Origin,Nation of Origin
Max altitude (miles),Explosion<|>Location<|>Date<|>Yield (approximate)<|>Altitude (km)<|>Nation of Origin,Altitude (km)
Height feet   meters,Rank<|>Name<|>Location<|>Height Metres / feet<|>Floors,Height Metres / feet
Height feet   meters,Rank<|>Name<|>Location<|>Height feet / metres<|>Floors<|>Year Proposed,Height feet / metres
Height (m ft),Building<|>Height [m]<|>Floors<|>Built<|>City<|>Architect,Height [m]
Year ended,Rank<|>Name<|>Height m (ft)<|>Floors<|>Year<|>City,Year
Height (m.),Rank<|>Name<|>Height m (ft)<|>Floors<|>Year<|>City,Height m (ft)
(BH) max (kJ m 3 ),Rank<|>Name<|>Height* m (ft)<|>Floors<|>Year* (est.)<|>City,Height* m (ft)
Year [A ],Year (affiliation)<|>Wins<|>Losses<|>Winning Pct.<|>GB (Division Standing)<|>Manager,Year (affiliation)
Completed?,Year (affiliation)<|>Wins<|>Losses<|>Winning Pct.<|>GB (Division Standing)<|>Manager,GB (Division Standing)
Last season,Season<|>Name<|>Teams<|>Relegated to league<|>Promoted to league<|>Promoted from league<|>Relegated from league,Season
Year ended,Year<|>Champion<|>Subchampion<|>Scoreboard<|>Fronton,Year
Population (2000 census),Metropolitan ring<|>Localities<|>Total<|>Jews and others 1<|>Thereof: Jews<|>Arabs<|>Population density (per km²)<|>Annual Population growth rate,Population density (per km²)
Start Time,Rank<|>Time<|>Athlete<|>Date<|>Place,Time
IHSAA Class  Football Class,School<|>Location<|>Mascot<|>Enrollment 08-09<|>IHSAA Class / Football Class<|>County<|>Year Joined<|>Previous Conference<|>Year Left<|>Conference Joined,IHSAA Class / Football Class
High school,School<|>Location<|>Mascot<|>Enrollment 08-09<|>IHSAA Class / Football Class<|>County<|>Year Joined<|>Previous Conference<|>Year Left<|>Conference Joined,School
IHSAA Class  Football Class,School<|>Location<|>Mascot<|>Enrollment 08-09<|>IHSAA Class/ Football Class<|>County<|>Year Joined<|>Previous Conference,IHSAA Class/ Football Class
High school,School<|>Location<|>Mascot<|>Enrollment 08-09<|>IHSAA Class/ Football Class<|>County<|>Year Joined<|>Previous Conference,School
Year ended,Year<|>Drivers<|>Wins<|>Points<|>D.C.,Year
High school,School<|>Location<|>Team Name<|>Colors<|>Varsity Teams<|>NJCAA Championships,School
Year ended,Year<|>Song Title<|>Film Name<|>Language<|>Music Director,Year
Song 2 title,Year<|>Song Title<|>Film Name<|>Language<|>Music Director,Song Title
Total Apps (Sub),Name<|>Position<|>League Apps<|>League Goals<|>FA Cup Apps<|>FA Cup Goals<|>League Cup Apps<|>League Cup Goals<|>FLT Apps<|>FLT Goals<|>Total Apps<|>Total Goals,Total Apps
Cup Apps,Name<|>Position<|>League Apps<|>League Goals<|>FA Cup Apps<|>FA Cup Goals<|>League Cup Apps<|>League Cup Goals<|>FLT Apps<|>FLT Goals<|>Total Apps<|>Total Goals,FA Cup Apps
Completed?,Episode #<|>Series #<|>Title<|>Director<|>Writer<|>Original airdate<|>Viewers (in millions),Viewers (in millions)
Year ended,Year<|>U.S. Rank<|>Total s Ton<|>Domestic s Ton<|>Foreign Total s Ton<|>Foreign Imports s Ton<|>Foreign Exports s Ton,Year
Year ended,Year<|>Office<|>Election<|>Subject<|>Party<|>Votes,Year
Episode number Production number,Title<|>Series<|>Director<|>Characters<|>Production Number<|>Release date<|>City,Production Number
Last season,Season<|>Tier<|>League<|>Pos.<|>Turkish Cup<|>European competitions,Season
Original Canadian air date,No. in series<|>Title<|>Directed by<|>Written by<|>Original air date,Original air date
GAMES,Nr.<|>Player<|>Games played<|>Starting<|>Sub<|>Subbed<|>Mins played<|>Goals<|>Pens. against<|>Pens. for<|>Fouls suff.<|>Fouls comm.<|>Yellow C<|>Red c<|>Assists<|>Passes<|>Good passes,Games played
Aver- age popu- lation (x 1000),"equation:<|>k_{\mathrm{H,pc}} = \frac{p}{c_\mathrm{aq}}<|>k_{\mathrm{H,cp}} = \frac{c_\mathrm{aq}}{p}<|>k_{\mathrm{H,px}} = \frac{p}{x}<|>k_{\mathrm{H,cc}} = \frac{c_{\mathrm{aq}}}{c_{\mathrm{gas}}}",equation:
Year of Issue,Date of Issue<|>Theme<|>Denomination<|>Design<|>Illustration<|>Quantity<|>Printing Process<|>Paper Type<|>First Day Cover Cancellation,Date of Issue
Year ended,Year<|>Country<|>Course<|>Location<|>Total score<|>To par [a ],Year
1991,1950<|>1960<|>1970<|>1980<|>1990<|>1996[2],1990
1976,1950<|>1960<|>1970<|>1980<|>1990<|>1996[2],1980
Start Time,Rank<|>Heat<|>Lane<|>Nation<|>Time,Time
Year ended,Year<|>Date<|>Event<|>Days<|>Stages<|>Acts,Year
Last season,Season<|>Events<|>Cashes<|>Match Play<|>TV Finals<|>PBA Titles<|>Average<|>Earnings,Season
On air date,Episode<|>Air Date<|>Timeslot (EST)<|>Rating<|>Share<|>18–49 Rating<|>Viewers (millions)<|>Rank,Air Date
Rating Share (18–49),Episode<|>Air Date<|>Timeslot (EST)<|>Rating<|>Share<|>18–49 Rating<|>Viewers (millions)<|>Rank,18–49 Rating
Season episode,Episode<|>Air Date<|>Timeslot (EST)<|>Rating<|>Share<|>18–49 Rating<|>Viewers (millions)<|>Rank,Episode
Season episode,Episode<|>Location<|>Headliner<|>Comedians<|>Airdate,Episode
Year ended,Year<|>Title<|>Director<|>Studio(s)<|>Notes,Year
Opponent in the Final,Outcome<|>Year<|>Championship<|>Partnering<|>Opponents in Final<|>Score in Final,Opponents in Final
Year ended,Outcome<|>Year<|>Championship<|>Partnering<|>Opponents in Final<|>Score in Final,Year
Final score,Outcome<|>Year<|>Championship<|>Partnering<|>Opponents in Final<|>Score in Final,Score in Final
Singapore League Cup,Name<|>Years<|>League<|>FA Cup<|>League Cup<|>Europe<|>Other a<|>Total,League Cup
FA Cup goals,Name<|>Years<|>League<|>FA Cup<|>League Cup<|>Europe<|>Other a<|>Total,FA Cup
Year ended,Year<|>Country<|>Champion<|>Total score<|>To Par [a ],Year
English party name,English name<|>Original name<|>Area in km²<|>Population at 2010 Census<|>Number of settlements and villages,English name
"Area (1930) in 1,000skm 2",English name<|>Original name<|>Area in km²<|>Population at 2010 Census<|>Number of settlements and villages,Area in km²
2010 population,English name<|>Original name<|>Area in km²<|>Population at 2010 Census<|>Number of settlements and villages,Population at 2010 Census
(BH) max (kJ m 3 ),2005/ 06<|>2006/ 07<|>2007/ 08<|>2008/ 09<|>2009/ 10<|>2010/ 11<|>2011/ 12<|>2012/ 13,2009/ 10
July (°C),2005/ 06<|>2006/ 07<|>2007/ 08<|>2008/ 09<|>2009/ 10<|>2010/ 11<|>2011/ 12<|>2012/ 13,2012/ 13
Year ended,Year<|>Host City<|>Host School<|>Champion<|>Second Place<|>Third Place,Year
Year ended,Year<|>Average<|>High<|>Sellouts<|>Total for year<|>WNBA game average,Year
High school,Year<|>Average<|>High<|>Sellouts<|>Total for year<|>WNBA game average,High
Date (Opening),Round<|>Date (weekend of)<|>Matches<|>Clubs<|>Prize money,Date (weekend of)
Uyghur ( K̢ona Yezik̢ ),English<|>Galician ( Official )<|>Galician ( Reintegrationist )<|>Portuguese<|>Spanish,Galician ( Reintegrationist )
Year ended,Year<|>Nord<|>West<|>Südwest<|>Berlin,Year
On air date,#<|>Episode<|>Air Date<|>Timeslot (EST)<|>Rating<|>Share<|>18–49 Rating<|>Viewers (millions)<|>Rank,Air Date
Rating Share (18–49),#<|>Episode<|>Air Date<|>Timeslot (EST)<|>Rating<|>Share<|>18–49 Rating<|>Viewers (millions)<|>Rank,18–49 Rating
Season episode,#<|>Episode<|>Air Date<|>Timeslot (EST)<|>Rating<|>Share<|>18–49 Rating<|>Viewers (millions)<|>Rank,Episode
Weeks in top 12,Club<|>First season in top division<|>Number of seasons in top division<|>First season of current spell in top division<|>Number of seasons in Liga MX<|>Top division titles,First season in top division
Opponent in the Final,Club<|>First season in top division<|>Number of seasons in top division<|>First season of current spell in top division<|>Number of seasons in Liga MX<|>Top division titles,First season of current spell in top division
Start Time,Team<|>Driver<|>Laps<|>Time<|>Grid,Time
Year ended,Year<|>Pick<|>Player name<|>Position<|>College,Year
Last season,Season<|>Tier<|>League<|>Pos.<|>Postseason<|>Turkish Cup,Season
Change (SW Eng),Track no.<|>Track<|>Original Artist<|>Soloist(s)<|>Vocal Percussionist(s)<|>Arranger(s),Arranger(s)
Season episode,Episode<|>Title<|>Airdate (Canada)<|>Airdate (USA)<|>CBS airdate,Episode
Last season,Season<|>Tier<|>Division<|>Pos.<|>Cup Competitions,Season
☵ 坎 Kǎn Water,Dry Density (kg/m3)<|>7-day Compressive Strength (N/mm2)<|>Thermal Conductivity* (W/mK)<|>Modulus of Elasticity (kN/mm2)<|>Drying Shrinkage (%),Thermal Conductivity* (W/mK)
Percentage of global total,County<|>Exports (US$ mil)<|>Percent of total exports<|>Imports (US$ mil)<|>Percent of total imports,Percent of total exports
"GDP (PPP) (USD, per capita)",County<|>Exports (US$ mil)<|>Percent of total exports<|>Imports (US$ mil)<|>Percent of total imports,Exports (US$ mil)
Completed?,County<|>Exports (US$ mil)<|>Percent of total exports<|>Imports (US$ mil)<|>Percent of total imports,Imports (US$ mil)
Year [A ],Year (Ceremony)<|>Film title used in nomination<|>Original title<|>Languages<|>Director<|>Result,Year (Ceremony)
Date of Entry,Name<|>Japanese<|>Date of designation<|>Date of reclassification<|>Region<|>Prefecture,Date of designation
Original Canadian air date,#<|>Episode<|>Writer<|>Director<|>Original air date<|>Viewing figure,Original air date
Season episode,#<|>Episode<|>Writer<|>Director<|>Original air date<|>Viewing figure,Episode
Year ended,Year<|>E3 Harelbeke ( BEL )<|>Gent–Wevelgem ( BEL )<|>Tour of Flanders ( BEL )<|>Paris–Roubaix ( FRA ),Year
Uyghur ( K̢ona Yezik̢ ),Year<|>E3 Harelbeke ( BEL )<|>Gent–Wevelgem ( BEL )<|>Tour of Flanders ( BEL )<|>Paris–Roubaix ( FRA ),Paris–Roubaix ( FRA )
Weeks on Top,Title<|>Album<|>Country<|>Peak position<|>Weeks on chart,Weeks on chart
Peak chart position,Title<|>Album<|>Country<|>Peak position<|>Weeks on chart,Peak position
On air date,Episode<|>First Air Date<|>Rating (18–49)<|>Share (18–49)<|>Viewers (millions)<|>Rank (timeslot)<|>Rank (night),First Air Date
Season episode,Episode<|>First Air Date<|>Rating (18–49)<|>Share (18–49)<|>Viewers (millions)<|>Rank (timeslot)<|>Rank (night),Episode
Rating Share (18–49),Episode<|>First Air Date<|>Rating (18–49)<|>Share (18–49)<|>Viewers (millions)<|>Rank (timeslot)<|>Rank (night),Rating (18–49)
Date of destruction,Player<|>VFL Games<|>VFL Club(s)<|>Rank held at time of death<|>Date of death<|>Location,Date of death
SFC in lb (lbf·h),Engine type<|>Scenario<|>SFC in lb/(lbf·h)<|>SFC in g/(kN·s)<|>Specific impulse (s)<|>Effective exhaust velocity (m/s),SFC in lb/(lbf·h)
On air date,Order<|>Episode<|>Air Date<|>U.S. Timeslot (EST)<|>18-49<|>Viewers,Air Date
Season episode,Order<|>Episode<|>Air Date<|>U.S. Timeslot (EST)<|>18-49<|>Viewers,Episode
Singapore League Cup,Name<|>League<|>FA Cup<|>League Cup<|>Europe<|>Total,League Cup
FA Cup goals,Name<|>League<|>FA Cup<|>League Cup<|>Europe<|>Total,FA Cup
High school,School<|>Team Name<|>Town<|>County<|>School Enrollment (2008–10)<|>Football?,School
Year ended,Year<|>Theme<|>Face Value<|>Weight<|>Diameter<|>Mintage<|>Issue Price,Year
Date of Entry,Presidency<|>President<|>Date of Birth<|>Took office<|>Left office,Date of Birth
On air date,Episode<|>First Air Date<|>Rating (18–49)<|>Share (18–49)<|>Viewers (millions)<|>Rank (timeslot),First Air Date
Season episode,Episode<|>First Air Date<|>Rating (18–49)<|>Share (18–49)<|>Viewers (millions)<|>Rank (timeslot),Episode
Rating Share (18–49),Episode<|>First Air Date<|>Rating (18–49)<|>Share (18–49)<|>Viewers (millions)<|>Rank (timeslot),Rating (18–49)
% Increase,Provider<|>Country<|>Subscribers (2005) (thousands)<|>Subscribers (2006) (thousands)<|>Growth %,Growth %
Completed?,Provider<|>Country<|>Subscribers (2005) (thousands)<|>Subscribers (2006) (thousands)<|>Growth %,Subscribers (2005) (thousands)
Last season,Season<|>Winners<|>Total wins<|>Runners-up<|>Third-place<|>fourth-placed<|>Number of clubs,Season
Completed?,Branding<|>Callsign<|>Ch. #<|>Power (kW)<|>Station Type<|>Coverage (Transmitter site),Coverage (Transmitter site)
Population (2000 census),Region<|>Country<|>Total Population (2011 est)<|>Hindu % of population<|>Hindu total,Total Population (2011 est)
BYU-UU score,Rank<|>Date<|>Stadium<|>Opponent<|>Competition<|>Score Scotland's score is shown first.,Score Scotland's score is shown first.
Typical viewing distance (in cm),Rank<|>Route<|>Avg. Daily Flts<|># of Airlines<|>Distance (km)<|>Market Share Leader,Distance (km)
High school,School<|>Location<|>Founded<|>Affiliation<|>Enrollment<|>Nickname,School
Change (SW Eng),Date<|>Opponents<|>H / A<|>Result F–A<|>Attendance,Result F–A
Wheelchair accessible? (),Country<|>Men's race<|>Women's race<|>Men's wheelchair<|>Women's Wheelchair<|>Total,Men's wheelchair
Year ended,Year<|>Division<|>League<|>Regular Season<|>Playoffs<|>Open Cup<|>Avg. Attendance,Year
Last season,Season<|>Nationality<|>Player<|>Club<|>League<|>Goals<|>Points,Season
